English,Spanish
the,el/la
be,ser/estar
to,a/para
of,de
and,y
a,un/una
in,en
that,que/ese
have,tener
I,yo
it,eso/lo
for,para
not,no
on,sobre/en
with,con
he,él
as,como
you,tú/usted
do,hacer
at,en
this,este/esta
but,pero
his,su/sus
by,por
from,de/desde
they,ellos/ellas
we,nosotros
say,decir
her,su/sus/ella
she,ella
or,o
an,un/una
will,sera
my,mi
one,uno/una
all,todo/todos
there,ahi/alla
their,su/sus
what,que
so,asi/entonces
up,arriba
out,afuera
if,si
about,sobre/acerca de
who,quien
get,obtener
which,cual
go,ir
me,me
when,cuando
make,hacer
like,gustar/como
no,no
just,solo/justo
him,el
know,saber
take,tomar
people,gente
into,en/dentro
year,anio
your,tu/su
good,bueno
some,algunos
could,podria
them,ellos
see,ver
other,otro
than,que
then,entonces
now,ahora
look,mirar
only,solo
come,venir
its,su
over,sobre
think,pensar
also,tambien
back,espalda/regreso
after,despues
use,usar
two,dos
how,como?
our,nuestro
work,trabajo
first,primero
well,bien
way,camino/forma
even,incluso
new,nuevo
want,querer
because,porque
any,cualquier
these,estos
give,dar
day,dia
most,la mayoría
us,nosotros
would,haria
can,poder
